Layer	File	Thickness	Pause	Material	Speed	Intensity
161	CompositeTensile7161.png	5	0.500	1	5.00	50
162	CompositeTensile7162.png	5	0.500	1	5.00	50
163	CompositeTensile7163.png	5	0.500	1	5.00	50
164	CompositeTensile7164.png	5	0.500	1	5.00	50
165	CompositeTensile7165.png	5	0.500	1	5.00	50
166	CompositeTensile7166.png	5	0.500	1	5.00	50
167	CompositeTensile7167.png	5	0.500	1	5.00	50
168	CompositeTensile7168.png	5	0.500	1	5.00	50
169	CompositeTensile7169.png	5	0.500	1	5.00	50
170	CompositeTensile7170.png	5	0.500	1	5.00	50
171	CompositeTensile7171.png	5	0.500	1	5.00	50
172	CompositeTensile7172.png	5	0.500	1	5.00	50
173	CompositeTensile7173.png	5	0.500	1	5.00	50
174	CompositeTensile7174.png	5	0.500	1	5.00	50
175	CompositeTensile7175.png	5	0.500	1	5.00	50
176	CompositeTensile7176.png	5	0.500	1	5.00	50
177	CompositeTensile7177.png	5	0.500	1	5.00	50
178	CompositeTensile7178.png	5	0.500	1	5.00	50
179	CompositeTensile7179.png	5	0.500	1	5.00	50
180	CompositeTensile7180.png	5	0.500	1	5.00	50
181	CompositeTensile7181.png	5	0.500	1	5.00	50
182	CompositeTensile7182.png	5	0.500	1	5.00	50
183	CompositeTensile7183.png	5	0.500	1	5.00	50
184	CompositeTensile7184.png	5	0.500	1	5.00	50
185	CompositeTensile7185.png	5	0.500	1	5.00	50
186	CompositeTensile7186.png	5	0.500	1	5.00	50
187	CompositeTensile7187.png	5	0.500	1	5.00	50
188	CompositeTensile7188.png	5	0.500	1	5.00	50
189	CompositeTensile7189.png	5	0.500	1	5.00	50
190	CompositeTensile7190.png	5	0.500	1	5.00	50
191	CompositeTensile7191.png	5	0.500	1	5.00	50
192	CompositeTensile7192.png	5	0.500	1	5.00	50
193	CompositeTensile7193.png	5	0.500	1	5.00	50
194	CompositeTensile7194.png	5	0.500	1	5.00	50
195	CompositeTensile7195.png	5	0.500	1	5.00	50
196	CompositeTensile7196.png	5	0.500	1	5.00	50
197	CompositeTensile7197.png	5	0.500	1	5.00	50
198	CompositeTensile7198.png	5	0.500	1	5.00	50
199	CompositeTensile7199.png	5	0.500	1	5.00	50
200	CompositeTensile7200.png	5	0.500	1	5.00	50
201	CompositeTensile7201.png	5	0.500	1	5.00	50
202	CompositeTensile7202.png	5	0.500	1	5.00	50
203	CompositeTensile7203.png	5	0.500	1	5.00	50
204	CompositeTensile7204.png	5	0.500	1	5.00	50
205	CompositeTensile7205.png	5	0.500	1	5.00	50
206	CompositeTensile7206.png	5	0.500	1	5.00	50
207	CompositeTensile7207.png	5	0.500	1	5.00	50
208	CompositeTensile7208.png	5	0.500	1	5.00	50
209	CompositeTensile7209.png	5	0.500	1	5.00	50
210	CompositeTensile7210.png	5	0.500	1	5.00	50
211	CompositeTensile7211.png	5	0.500	1	5.00	50
212	CompositeTensile7212.png	5	0.500	1	5.00	50
213	CompositeTensile7213.png	5	0.500	1	5.00	50
214	CompositeTensile7214.png	5	0.500	1	5.00	50
215	CompositeTensile7215.png	5	0.500	1	5.00	50
216	CompositeTensile7216.png	5	0.500	1	5.00	50
217	CompositeTensile7217.png	5	0.500	1	5.00	50
218	CompositeTensile7218.png	5	0.500	1	5.00	50
219	CompositeTensile7219.png	5	0.500	1	5.00	50
220	CompositeTensile7220.png	5	0.500	1	5.00	50
221	CompositeTensile7221.png	5	0.500	1	5.00	50
222	CompositeTensile7222.png	5	0.500	1	5.00	50
